Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
242,Gemon Green,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,GB,7,2023
243,Trey Dean III,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,KC,7,2023
244,Ethan Bonner,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,MIA,7,2023
245,Rejzohn Wright,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,NO,7,2023
246,Ronnie Hickman Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%,CLE,7,2023
247,Tanner McCalister,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,DEN,7,2023
248,Jaylin Williams,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,MIN,7,2023
249,NaJee Thompson,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,MIN,7,2023
250,Steven Gilmore,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,DET,7,2023
251,Tony Adams,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.2%,NYJ,7,2023
252,Josh Valentine-Turner,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,7,2023
253,Ja'Marcus Ingram,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,BUF,7,2023
254,Mekhi Blackmon,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.0%,MIN,7,2023
255,Kei'Trel Clark,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,ARI,7,2023
256,Max Melton,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.2%,ARI,7,2023
257,Kyu Blu Kelly,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,WAS,7,2023
258,Darius Rush,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.6%,PIT,7,2023
259,Terell Smith,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.6%,CHI,7,2023
