Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
69,Jaelon Darden,1,2,29,29.0,29,1,0,0,0,0,0,1,3.9,3.9,0.0%,CLE,10,2021
70,Brandon Zylstra,2,2,18,9.0,10,0,0,0,0,0,0,1,3.8,3.8,0.0%,FA,10,2021
71,Odell Beckham Jr.,2,3,18,9.0,13,0,0,0,0,0,0,1,3.8,3.8,33.2%,MIA,10,2021
72,Trinity Benson,2,3,17,8.5,5,0,0,0,0,0,0,1,3.7,3.7,0.0%,FA,10,2021
73,N'Keal Harry,1,1,26,26.0,26,1,0,0,0,0,0,1,3.6,3.6,0.1%,MIN,10,2021
74,Cole Beasley,2,2,15,7.5,8,0,0,0,0,0,0,1,3.5,3.5,0.0%,FA,10,2021
75,A.J. Brown,1,4,16,16.0,16,0,0,1,7,0,0,1,3.3,3.3,99.9%,PHI,10,2021
76,Zay Jones,1,3,22,22.0,22,1,0,0,0,0,0,1,3.2,3.2,17.3%,ARI,10,2021
77,Rondale Moore,2,4,10,5.0,7,0,0,1,1,0,0,1,3.1,3.1,5.3%,ATL,10,2021
78,Cam Sims,2,2,10,5.0,6,0,0,0,0,0,0,1,3.0,3.0,0.0%,CAR,10,2021
79,Zach Pascal,2,2,9,4.5,12,0,0,0,0,0,0,1,2.9,2.9,0.1%,ARI,10,2021
